-----------------------------------------------------------
Server listening on 5006
-----------------------------------------------------------
Accepted connection from 172.16.0.2, port 44048
[  5] local 172.16.0.1 port 5006 connected to 172.16.0.2 port 44060
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  66.00-67.00  sec   512 KBytes  4.19 Mbits/sec    0    318 KBytes       
[  5]  67.00-68.00  sec   384 KBytes  3.15 Mbits/sec    0    320 KBytes       
[  5]  68.00-69.00  sec   512 KBytes  4.19 Mbits/sec    0    320 KBytes       
[  5]  69.00-70.00  sec   384 KBytes  3.15 Mbits/sec    0    324 KBytes       
[  5]  70.00-71.00  sec   512 KBytes  4.19 Mbits/sec    0    332 KBytes       
[  5]  71.00-72.00  sec   384 KBytes  3.15 Mbits/sec    0    349 KBytes       
[  5]  72.00-73.00  sec   512 KBytes  4.19 Mbits/sec    0    378 KBytes       
[  5]  72.00-73.00  sec   512 KBytes  4.19 Mbits/sec    0    378 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-73.00  sec   140 MBytes  16.1 Mbits/sec   67             sender
-----------------------------------------------------------
Server listening on 5006
-----------------------------------------------------------
